customerid,churn_proba,churn_risk_segment
5067-XJQFU,0.42453988816821914,Moderate
3957-SQXML,0.03175633358767962,Very Low
5954-BDFSG,0.16954211650274975,Very Low
0434-CSFON,0.709369515270718,High
1215-FIGMP,0.4940144961716219,Moderate
0526-SXDJP,0.024036288390111116,Very Low
0557-ASKVU,0.21795403568357768,Low
5698-BQJOH,0.8377335839761357,Very High
5122-CYFXA,0.7130042584161699,High
8627-ZYGSZ,0.4416242149275161,Moderate
3410-YOQBQ,0.08943489372347384,Very Low
3170-NMYVV,0.010320816617120556,Very Low
7410-OIEDU,0.760643436316791,High
2273-QCKXA,0.5430138632133837,Moderate
0731-EBJQB,0.043121609574706454,Very Low
1891-QRQSA,0.19643849864914106,Very Low
8028-PNXHQ,0.011492531834103653,Very Low
5630-AHZIL,0.544077344830808,Moderate
2673-CXQEU,0.4885545945536417,Moderate
6416-JNVRK,0.08909515203631936,Very Low
5590-ZSKRV,0.4101214459499569,Moderate
0191-ZHSKZ,0.5563110414688267,Moderate
3887-PBQAO,0.05522515343549587,Very Low
5919-TMRGD,0.8350670220864957,Very High
8108-UXRQN,0.6666685019438054,High
9191-MYQKX,0.756345271409239,High
9919-YLNNG,0.5904468466044719,Moderate
0318-ZOPWS,0.018736655385961802,Very Low
4445-ZJNMU,0.8251941206411294,Very High
4808-YNLEU,0.1639419459927669,Very Low
1862-QRWPE,0.011803371331787604,Very Low
2796-NNUFI,0.017432346109244542,Very Low
3016-KSVCP,0.4103233120564238,Moderate
4767-HZZHQ,0.48265139616384733,Moderate
2424-WVHPL,0.8576771389075618,Very High
7233-PAHHL,0.04679116112601587,Very Low
6067-NGCEU,0.5470568673104231,Moderate
9848-JQJTX,0.15168137791881442,Very Low
8637-XJIVR,0.8557586834167198,Very High
9803-FTJCG,0.05882139851718096,Very Low
0278-YXOOG,0.37060766243487747,Low
3212-KXOCR,0.012983536310867325,Very Low
4598-XLKNJ,0.8102369140337556,Very High
6380-ARCEH,0.41410875696848753,Moderate
3679-XASPY,0.45097009727841486,Moderate
7123-WQUHX,0.3850274743249809,Low
5386-THSLQ,0.08545325770419503,Very Low
3192-NQECA,0.1815122360795153,Very Low
6180-YBIQI,0.6651630585908119,High
6728-DKUCO,0.30482889117744527,Low
9750-BOOHV,0.20773601063199246,Low
8597-CWYHH,0.3468321926623656,Low
2848-YXSMW,0.0038355486016891974,Very Low
0486-HECZI,0.6478488501073448,High
4549-ZDQYY,0.07281909717098697,Very Low
5712-AHQNN,0.6590007479671929,High
4846-WHAFZ,0.7611737573434302,High
5256-SKJGO,0.0674613246641548,Very Low
3071-VBYPO,0.7744879664529062,High
9560-BBZXK,0.0934256069408268,Very Low
5299-RULOA,0.8425130249297617,Very High
8402-OOOHJ,0.02148152474477702,Very Low
9445-ZUEQE,0.6485393929368805,High
1091-SOZGA,0.2944332686558717,Low
2928-HLDBA,0.3564896303284603,Low
0404-SWRVG,0.8883914960355637,Very High
6497-TILVL,0.41293546102765005,Moderate
7219-TLZHO,0.31399636965853817,Low
4622-YNKIJ,0.3452412774120548,Low
4412-YLTKF,0.8245366233354401,Very High
6734-PSBAW,0.009328288345914154,Very Low
3930-ZGWVE,0.4138686949242473,Moderate
2639-UGMAZ,0.17529504117131178,Very Low
2876-GZYZC,0.8597694739979262,Very High
6207-WIOLX,0.5229025973177411,Moderate
8587-XYZSF,0.016885510698885785,Very Low
3091-FYHKI,0.8388462525534908,Very High
2372-HWUHI,0.6369354126220016,High
7799-LGRDP,0.03841864770081458,Very Low
7850-VWJUU,0.6606795810645535,High
3774-VBNXY,0.005566394890671618,Very Low
6217-KDYWC,0.011128357932371167,Very Low
0390-DCFDQ,0.8314421459191755,Very High
3146-MSEGF,0.05270326815739735,Very Low
4080-OGPJL,0.6680668706751188,High
1095-WGNGG,0.17174999937224436,Very Low
2636-SJDOU,0.25276721322518825,Low
1131-QQZEB,0.009342996661302673,Very Low
5716-EZXZN,0.13248264219386285,Very Low
6837-BJYDQ,0.2185298172395732,Low
2135-RXIHG,0.7140483798307519,High
6440-DKQGE,0.1310182558517601,Very Low
3466-BYAVD,0.4411574500638164,Moderate
3780-YVMFA,0.606835805486979,High
3874-EQOEP,0.7793936199795508,High
1679-JRFBR,0.2712662849983633,Low
9073-ZZIAY,0.044115385808654616,Very Low
3077-RSNTJ,0.29422553631874904,Low
6551-GNYDG,0.6698770943587655,High
9167-APMXZ,0.7373311745035774,High
2749-CTKAJ,0.0792741147344082,Very Low
6371-NZYEG,0.09889550019850903,Very Low
7554-NEWDD,0.11203103090498708,Very Low
8992-VONJD,0.5614644653261085,Moderate
0867-MKZVY,0.7652279877938613,High
4482-EWFMI,0.8581709946184812,Very High
4648-YPBTM,0.07391233333623884,Very Low
2907-ILJBN,0.1261709397791792,Very Low
6345-FZOQH,0.005592527464755221,Very Low
3376-BMGFE,0.7811200430792353,High
5997-OPVFA,0.049033579517084994,Very Low
3445-HXXGF,0.3917154826833688,Low
1159-WFSGR,0.28945679354982584,Low
7654-YWJUF,0.3121305943275742,Low
1875-QIVME,0.89401592233513,Very High
6727-IOTLZ,0.14217640197687606,Very Low
0691-JVSYA,0.2816975228967422,Low
5918-VUKWP,0.06564422410438722,Very Low
1744-JHKYS,0.23342422270948596,Low
2656-FMOKZ,0.8139368208187219,Very High
2070-FNEXE,0.7549865571067419,High
5947-SGKCL,0.7482126493606726,High
3712-PKXZA,0.023830362628885764,Very Low
6317-YPKDH,0.7029318033601748,High
6582-OIVSP,0.53892199656665,Moderate
9367-WXLCH,0.7638022542278797,High
5524-KHNJP,0.12499690472764109,Very Low
1918-ZBFQJ,0.8159665781785369,Very High
1024-GUALD,0.8278680481794845,Very High
4827-USJHP,0.4355178880066711,Moderate
8167-GJLRN,0.7755998157356159,High
0956-SYCWG,0.21200942286322924,Low
8017-UVSZU,0.2654829723589343,Low
7100-FQPRV,0.15452112212014946,Very Low
2472-OVKUP,0.8445879546346888,Very High
2984-RGEYA,0.004323571446542756,Very Low
9680-NIAUV,0.10845178614988421,Very Low
2146-EGVDT,0.0071892042637098095,Very Low
2604-IJPDU,0.7870835609171016,High
9178-JHUVJ,0.06348607724288431,Very Low
6168-YBYNP,0.6886504665493592,High
7255-SSFBC,0.13725303578471054,Very Low
3645-DEYGF,0.35872107180432794,Low
9323-HGFWY,0.47119686269354766,Moderate
8544-GOQSH,0.7328695682614667,High
3363-DTIVD,0.14146947706409102,Very Low
7018-WBJNK,0.6924186103011736,High
9142-KZXOP,0.3984671547655782,Low
7674-YTAFD,0.3889880400625519,Low
6348-SNFUS,0.036444509121437874,Very Low
1285-OKIPP,0.8262239203577051,Very High
7825-ECJRF,0.8075861227425365,Very High
1347-KTTTA,0.26020078165712246,Low
7841-TZDMQ,0.6091254290756187,High
4195-NZGTA,0.7877753868385856,High
7157-SMCFK,0.006607118999907887,Very Low
4709-LKHYG,0.08695980984923914,Very Low
2504-DSHIH,0.7999280129058948,High
0699-NDKJM,0.2920264496006224,Low
9286-BHDQG,0.020667139312292672,Very Low
0230-WEQUW,0.05451331791079376,Very Low
2040-LDIWQ,0.044113289456305486,Very Low
6496-JDSSB,0.7630136477699903,High
9408-SSNVZ,0.8494379852068273,Very High
4443-EMBNA,0.007398948300085085,Very Low
6469-MRVET,0.3291619716623539,Low
0742-MOABM,0.5009028138409625,Moderate
5961-VUSRV,0.19449821397044106,Very Low
6778-JFCMK,0.38240384413722084,Low
6341-JVQGF,0.1793800317913048,Very Low
2232-DMLXU,0.5325409668023636,Moderate
4811-JBUVU,0.7088255198674357,High
0945-TSONX,0.08179629751819256,Very Low
2651-ZCBXV,0.23823104419349758,Low
3316-UWXUY,0.5183516451468199,Moderate
8937-RDTHP,0.8075532124891595,Very High
7083-MIOPC,0.005306828979144829,Very Low
1984-GPTEH,0.2888728792795644,Low
1251-KRREG,0.6769897358208941,High
0621-JFHOL,0.30871833897153794,Low
9903-LYSAB,0.8193966489711293,Very High
0094-OIFMO,0.8669523978406494,Very High
9227-UAQFT,0.0658528603989186,Very Low
7301-ABVAD,0.03862984199927664,Very Low
6614-FHDBO,0.12904888205024367,Very Low
7576-ASEJU,0.13232537365343633,Very Low
9058-HRZSV,0.48817097969084805,Moderate
4522-AKYLR,0.6726422930348694,High
0221-WMXNQ,0.8443367206923983,Very High
0303-UNCIP,0.14122788628278354,Very Low
9947-OTFQU,0.8352922682754989,Very High
0322-YINQP,0.617469584600429,High
0959-WHOKV,0.5673342384143233,Moderate
4075-JFPGR,0.3850381567266961,Low
4629-NRXKX,0.7710950879129309,High
9514-JDSKI,0.8254496506391106,Very High
3282-ZISZV,0.18250969948904122,Very Low
3675-YDUPJ,0.38599565489122645,Low
4111-BNXIF,0.06884733814044834,Very Low
7017-VFHAY,0.14158399927889725,Very Low
6655-LHBYW,0.3814830432558642,Low
4959-JOSRX,0.5949033582289014,Moderate
5046-NUHWD,0.6690206138921132,High
7273-TEFQD,0.8616943011403101,Very High
3606-TWKGI,0.8954453208160621,Very High
7529-ZDFXI,0.6600805416830735,High
7605-BDWDC,0.17190960878997308,Very Low
1950-KSVVJ,0.381884472726615,Low
0123-CRBRT,0.04274440982967973,Very Low
6292-TOSSS,0.019596556294762695,Very Low
3197-ARFOY,0.7781640265943818,High
6323-AYBRX,0.009184354374217546,Very Low
7014-ZZXAW,0.01007621019728323,Very Low
4385-GZQXV,0.8468819254290081,Very High
7633-MVPUY,0.059496458686664595,Very Low
6366-ZGQGL,0.7022856224005173,High
4716-HHKQH,0.8360652732539113,Very High
5940-AHUHD,0.7495032213942949,High
6432-TWQLB,0.8794328796018235,Very High
4484-GLZOU,0.7043678290590148,High
3179-GBRWV,0.4938613491728953,Moderate
8645-KWHJO,0.7677176268219931,High
4130-MZLCC,0.49753494714094826,Moderate
0314-TKOSI,0.49611633878830275,Moderate
8229-MYEJZ,0.5634815101059774,Moderate
2080-SRCDE,0.4271433820886843,Moderate
9577-WJVCQ,0.10753966200975468,Very Low
9512-UIBFX,0.5990164669821361,Moderate
6202-DYYFX,0.5510529489019733,Moderate
3808-HFKDE,0.5341226268243798,Moderate
5583-SXDAG,0.8160637779895734,Very High
3488-PGMQJ,0.8666189427270177,Very High
3580-REOAC,0.5282640954447766,Moderate
7534-BFESC,0.8324560930441975,Very High
3727-OWVYD,0.1286700881606923,Very Low
2294-SALNE,0.33916389991296086,Low
4847-TAJYI,0.8793484487193438,Very High
1563-IWQEX,0.293782393720998,Low
8203-XJZRC,0.41413543305006384,Moderate
6556-DBKZF,0.06663290032085824,Very Low
6851-WEFYX,0.8113454365436436,Very High
2985-JUUBZ,0.4218291198310832,Moderate
6390-DSAZX,0.7625381179464283,High
0895-LMRSF,0.24600756384056213,Low
8098-LLAZX,0.9125324710199308,Very High
8266-VBFQL,0.8581160565727578,Very High
8181-YHCMF,0.03257800697389892,Very Low
2240-HSJQD,0.5779904872863459,Moderate
1248-DYXUB,0.013751472608499946,Very Low
0265-EDXBD,0.7831692502735361,High
4115-BNPJY,0.06866096840577736,Very Low
3167-SNQPL,0.6977041734121383,High
4091-TVOCN,0.14523214686485872,Very Low
1098-TDVUQ,0.48305432808810267,Moderate
7277-OZCGZ,0.7742994658170064,High
1557-EMYVT,0.24835440091016195,Low
2799-ARNLO,0.8694260418061612,Very High
7563-BIUPC,0.8511024238901076,Very High
5027-YOCXN,0.29904730490428855,Low
3973-SKMLN,0.007254815243163432,Very Low
2321-OMBXY,0.1137153445902343,Very Low
2840-XANRC,0.8071074249458876,Very High
6745-JEFZB,0.6709912816519829,High
5020-ZSTTY,0.14497908254086453,Very Low
9880-TDQAC,0.056073828499939984,Very Low
8705-WZCYL,0.7136665856570203,High
7102-JJVTX,0.21849961331855886,Low
8626-PTQGE,0.05421225139243684,Very Low
4983-CLMLV,0.5777973719892094,Moderate
5701-YVSVF,0.8511973580444296,Very High
5804-LEPIM,0.8860349937464698,Very High
5697-GOMBF,0.6082269067778112,High
2739-CACDQ,0.8146986453822486,Very High
9385-EHGDO,0.029082321931030906,Very Low
9498-FIMXL,0.2296627955941073,Low
2379-GYFLQ,0.4149359958369214,Moderate
0122-OAHPZ,0.872937427102023,Very High
2868-SNELZ,0.7960566422124206,High
4322-RCYMT,0.07614077088140879,Very Low
6680-NENYN,0.3956102805940509,Low
2088-IEBAU,0.09231328152908368,Very Low
7982-VCELR,0.6229783599495138,High
1343-EHPYB,0.6327522178735715,High
6035-BXTTY,0.3181506568545214,Low
6885-PKOAM,0.038712439997210746,Very Low
7520-HQWJU,0.14457377993822296,Very Low
9639-BUJXT,0.01678296865460254,Very Low
5924-SNGKP,0.048899837556169494,Very Low
0021-IKXGC,0.9149033027879049,Very High
2034-GDRCN,0.8639779943383068,Very High
8966-SNIZF,0.005095157680958454,Very Low
6243-OZGFH,0.6805962360618256,High
4654-DLAMQ,0.22997248834932016,Low
0513-RBGPE,0.08423759004506083,Very Low
5160-UXJED,0.17116104836988996,Very Low
4115-NZRKS,0.8738748533212423,Very High
0219-YTZUE,0.7916353445361292,High
0623-IIHUG,0.7434672336689107,High
4572-DVCGN,0.7541089583770297,High
3351-NGXYI,0.7083860012598937,High
8984-EYLLL,0.26081150407629405,Low
9057-MSWCO,0.4865319519607221,Moderate
9833-TGFHX,0.4032042060508675,Moderate
9294-TDIPC,0.3156552719993612,Low
5229-DTFYB,0.21844189342621145,Low
0104-PPXDV,0.049752889282167666,Very Low
5176-LMJXE,0.02198049916183002,Very Low
3583-KRKMD,0.6975333544424158,High
1010-DIAUQ,0.7359938956990426,High
9069-LGEUL,0.40850660803414984,Moderate
7302-ZHMHP,0.4115536066593619,Moderate
9571-EDEBV,0.2585151541859802,Low
3520-FJGCV,0.14356714837150286,Very Low
6563-VRERX,0.049503395081193835,Very Low
0259-GBZSH,0.8943888089863921,Very High
6122-EFVKN,0.12751588180130172,Very Low
2805-EDJPQ,0.29919344266768655,Low
6862-CQUMB,0.6180173194963624,High
7156-MXBJE,0.1698845496043448,Very Low
6158-HDPXZ,0.7062699507095211,High
9601-BRXPO,0.7414077287818602,High
2863-IMQDR,0.08059379952232608,Very Low
5686-CMAWK,0.6280350515293929,High
5651-CRHKQ,0.322946269480424,Low
6905-NIQIN,0.5438868029595018,Moderate
8204-YJCLA,0.05203006417970847,Very Low
5167-ZFFMM,0.8514621034227542,Very High
6583-SZVGP,0.25870567366610975,Low
4895-TMWIR,0.3504942349165279,Low
0533-BNWKF,0.6765626912010766,High
1708-PBBOA,0.3298840125660857,Low
8782-LKFPK,0.6183056847895851,High
5522-JBWMO,0.591202147404521,Moderate
3597-MVHJT,0.7282734865686687,High
9774-NRNAU,0.5566476674752263,Moderate
0224-RLWWD,0.7524359832156162,High
9967-ATRFS,0.230894121485402,Low
3951-NJCVI,0.7687745103999435,High
2977-CEBSX,0.06579117074245629,Very Low
0177-PXBAT,0.7654851359579349,High
6599-CEBNN,0.5765421257445208,Moderate
2519-ERQOJ,0.6709585230889862,High
5876-QMYLD,0.07490356415869119,Very Low
2277-AXSDC,0.06509111886911105,Very Low
9442-JTWDL,0.16245626180522965,Very Low
0979-PHULV,0.41580548475187973,Moderate
3067-SVMTC,0.037079435770830706,Very Low
5495-GPSRW,0.07454155945351533,Very Low
7606-BPHHN,0.007083816198062783,Very Low
4742-DRORA,0.26129154284956513,Low
0111-KLBQG,0.6214574405528887,High
4800-VHZKI,0.48788786864082523,Moderate
7989-CHGTL,0.4897800262182126,Moderate
0334-GDDSO,0.9119334256078095,Very High
4163-NCJAK,0.06140811120110404,Very Low
5233-AOZUF,0.7586175412928888,High
5973-EJGDP,0.6586480502835069,High
1996-DBMUS,0.49957493916968054,Moderate
7916-VCCPB,0.5725262420875624,Moderate
4686-GEFRM,0.1397444004253597,Very Low
5249-QYHEX,0.032236238960569374,Very Low
0578-SKVMF,0.6505804626034933,High
5564-NEMQO,0.8369969403475193,Very High
2233-FAGXV,0.44604552873391157,Moderate
5605-IYGFG,0.7639382770254743,High
7663-ZTEGJ,0.4045960015502483,Moderate
3935-TBRZZ,0.04203908378744968,Very Low
8111-BKVDS,0.6269384342930446,High
2055-SIFSS,0.18635517348702926,Very Low
2806-MLNTI,0.4429014692634188,Moderate
8734-DKSTZ,0.7843012333692287,High
4360-PNRQB,0.755067687697721,High
6152-ONASV,0.050419695389196384,Very Low
9063-ZGTUY,0.04087057363562663,Very Low
7781-HVGMK,0.04249735714873167,Very Low
2181-UAESM,0.6432002127771368,High
2957-LOLHO,0.5001157985437792,Moderate
6048-NJXHX,0.04336252120300758,Very Low
2320-SLKMB,0.553837231195264,Moderate
4980-URKXC,0.05287919377587723,Very Low
4376-KFVRS,0.15459904351127576,Very Low
5886-VLQVU,0.659314003015527,High
3577-AMVUX,0.5462859816058948,Moderate
0771-WLCLA,0.8309505924322235,Very High
5628-RKIFK,0.6079654780458589,High
0206-TBWLC,0.4043605490930241,Moderate
2937-FTHUR,0.5205339987585293,Moderate
1910-FMXJM,0.597338195370889,Moderate
7752-XUSCI,0.6665727674933787,High
4110-PFEUZ,0.7475189667942637,High
0732-OCQOC,0.018327625244573188,Very Low
5168-MSWXT,0.8049644780446561,Very High
1090-ESELR,0.07240556949252257,Very Low
8592-PLTMQ,0.02276735537845475,Very Low
5760-WRAHC,0.5101885108722025,Moderate
8847-GEOOQ,0.27006616827654545,Low
0256-LTHVJ,0.6698619191853092,High
4785-FCIFB,0.011355325418684847,Very Low
8313-NDOIA,0.8311635544761908,Very High
5149-CUZUJ,0.3255714304390142,Low
0942-KOWSM,0.06929419518406808,Very Low
4237-CLSMM,0.3912000899370944,Low
1452-VOQCH,0.894861762858786,Very High
4719-UMSIY,0.30523441987667854,Low
6614-VBEGU,0.4108644961087339,Moderate
0880-TKATG,0.821031316460492,Very High
3811-VBYBZ,0.8835005213739067,Very High
1480-BKXGA,0.22135745156743966,Low
2996-XAUVF,0.03656588162827027,Very Low
9076-AXYIK,0.23557453124993694,Low
5968-XQIVE,0.2649572536579041,Low
8896-RAZCR,0.014733022007256754,Very Low
4640-UHDOS,0.4712077759667439,Moderate
4933-IKULF,0.15560236057108343,Very Low
3583-EKAPL,0.7182278959298384,High
1304-BCCFO,0.5463189120944146,Moderate
4104-PVRPS,0.3216426932400877,Low
9399-APLBT,0.8269727270529534,Very High
2359-KMGLI,0.8020949939297444,Very High
3780-DDGSE,0.4610083438964821,Moderate
4431-EDMIQ,0.6218220238502694,High
0306-JAELE,0.856050298365687,Very High
6227-HWPWX,0.5826373526288678,Moderate
0486-LGCCH,0.06355309675298723,Very Low
0447-BEMNG,0.3178233426630099,Low
4612-SSVHJ,0.820118835448707,Very High
5168-MQQCA,0.2955218847865175,Low
5949-XIKAE,0.7970447537440543,High
7971-HLVXI,0.08845472059449927,Very Low
9094-AZPHK,0.8565044884724764,Very High
3649-JPUGY,0.05062472416980442,Very Low
8372-JUXUI,0.8704136093086957,Very High
3552-CTCYF,0.14902678037801015,Very Low
6778-YSNIH,0.7105396987660667,High
0388-EOPEX,0.8535809856406501,Very High
5756-OZRIO,0.08925384124914082,Very Low
6579-JPICP,0.41421546431629813,Moderate
8205-OTCHB,0.37709606138173113,Low
4134-BSXLX,0.30503625402071094,Low
0505-SPOOW,0.005217673361563359,Very Low
6235-VDHOM,0.7997945695204107,High
7783-YKGDV,0.8080010200424023,Very High
4374-YMUSQ,0.47092697543045264,Moderate
4513-CXYIX,0.12730915094071163,Very Low
3957-HHLMR,0.04224808265254791,Very Low
7803-XOCCZ,0.38371092620721275,Low
5736-YEJAX,0.040291012432668034,Very Low
5609-CEBID,0.8646623906865785,Very High
8981-FJGLA,0.7580997622206153,High
7218-HKQFK,0.8601798681172766,Very High
4636-QRJKY,0.8464969021027102,Very High
1135-LMECX,0.4119264332779496,Moderate
4332-MUOEZ,0.4339333277365212,Moderate
8535-SFUTN,0.6516873666814144,High
5956-VKDTT,0.8992927739170613,Very High
8677-HDZEE,0.5794275453792849,Moderate
2475-MROZF,0.7173784560457215,High
9412-GHEEC,0.6009564828173553,High
3482-ABPKK,0.15595337852260868,Very Low
6705-LXORM,0.8292343166348684,Very High
0257-ZESQC,0.6676523059391506,High
7531-GQHME,0.3006334176846114,Low
5174-ITUMV,0.34709460558055055,Low
4109-CYRBD,0.5758824134066454,Moderate
0913-XWSCN,0.36701784858046294,Low
6825-UYPFK,0.6548807449425448,High
8397-MVTAZ,0.7809403255124441,High
0750-EBAIU,0.32148277126686137,Low
8606-CIQUL,0.18782481359382255,Very Low
3571-DPYUH,0.26887917508261455,Low
7601-GNDYK,0.02144219570614002,Very Low
0356-OBMAC,0.2524210861485189,Low
8067-NIOYM,0.04815429128605311,Very Low
1403-GYAFU,0.004254990100336671,Very Low
4234-XTNEA,0.8627237125014019,Very High
1297-VQDRP,0.3174515552967461,Low
9282-IZGQK,0.8961286418235725,Very High
5348-CAGXB,0.8620821095638131,Very High
0621-HJWXJ,0.41209409102863764,Moderate
5844-QVTAT,0.1401526024900393,Very Low
8905-IAZPF,0.21359169156610408,Low
5394-MEITZ,0.03877358569990777,Very Low
6859-QNXIQ,0.14259583974698423,Very Low
2782-LFZVW,0.5973016942949476,Moderate
2866-IKBTM,0.41176663803832975,Moderate
1342-JPNKI,0.8057587338770353,Very High
2817-NTQDO,0.6804474335396782,High
7129-AZJDE,0.31239411954794977,Low
6986-IJDHX,0.49229493915089606,Moderate
2560-PPCHE,0.31527794369011003,Low
4676-MQUEA,0.4602590071006136,Moderate
8138-EALND,0.2685925623443069,Low
3580-HYCSP,0.13464212570111375,Very Low
1352-HNSAW,0.1423462210265661,Very Low
2075-PUEPR,0.008485003511334174,Very Low
1982-FEBTD,0.06710580391321355,Very Low
5301-GAUUY,0.6693795594712263,High
5791-KAJFD,0.09430927410990521,Very Low
2654-VBVPB,0.4076186211550998,Moderate
1154-HYWWO,0.1323166005992835,Very Low
2501-XWWTZ,0.7666350309987746,High
3716-UVSPD,0.7156843740786821,High
6815-ABQFQ,0.4853728950757363,Moderate
7343-EOBEU,0.5295537277985206,Moderate
3701-SFMUH,0.4371135874646644,Moderate
6103-LIANB,0.1550130380502302,Very Low
7319-VENRZ,0.49278256118680214,Moderate
5846-NEQVZ,0.02288337700343611,Very Low
6967-QIQRV,0.5380314355739784,Moderate
5781-RFZRP,0.0310319668334906,Very Low
0939-YAPAF,0.7808509593488299,High
0308-IVGOK,0.49142324825542116,Moderate
7293-LSCDV,0.008988963010778896,Very Low
7025-WCBNE,0.06909176287876433,Very Low
5756-JYOJT,0.27225682335807655,Low
4710-FDUIZ,0.2864556690166586,Low
6030-REHUX,0.8551496307342901,Very High
9548-LIGTA,0.04525195741443718,Very Low
5150-LJNSR,0.37495695201220003,Low
8270-RKSAP,0.8265177402200217,Very High
6522-YRBXD,0.8067151820702203,Very High
2640-LYMOV,0.47804107105557864,Moderate
1218-VKFPE,0.23907700121067607,Low
3627-FHKBK,0.7498978466257433,High
2865-TCHJW,0.9105571018093845,Very High
1423-BMPBQ,0.41751438590508866,Moderate
2393-DIVAI,0.4646506991742621,Moderate
5192-EBGOV,0.9172029211848083,Very High
4568-KNYWR,0.05198016588980698,Very Low
8752-IMQOS,0.1606168771121612,Very Low
0742-LAFQK,0.2106824214175449,Low
0795-LAFGP,0.05262323527640464,Very Low
0619-OLYUR,0.1727991358629737,Very Low
5512-IDZEI,0.05880563063083113,Very Low
0459-SPZHJ,0.03830596948674412,Very Low
0215-BQKGS,0.6279009193308562,High
9244-ZVAPM,0.5411306946020105,Moderate
0719-SYFRB,0.5927407725850491,Moderate
8208-EUMTE,0.22882288898122607,Low
5172-MIGPM,0.5941062819363504,Moderate
1710-RCXUS,0.3516328458553916,Low
0374-FIUCA,0.009568932692348642,Very Low
5839-SUYVZ,0.7145109129236838,High
5173-ZXXXL,0.22704033089388487,Low
1096-ADRUX,0.1632028198708259,Very Low
2001-MCUUW,0.3025316600361769,Low
2731-GJRDG,0.54263590129604,Moderate
4723-BEGSG,0.036058675302810886,Very Low
6516-NKQBO,0.05750757659466668,Very Low
8672-OAUPW,0.05176590780311641,Very Low
8207-DMRVL,0.11144261130208889,Very Low
3419-SNJJD,0.49034290545774795,Moderate
6543-CPZMK,0.7299379235088206,High
4765-OXPPD,0.41325221801945244,Moderate
2804-ETQDK,0.005414731003494224,Very Low
6689-VRRTK,0.5342428792074888,Moderate
7138-GIRSH,0.05616308885169456,Very Low
9396-ZSFLL,0.46681777371335065,Moderate
6464-KEXXH,0.7056114973658071,High
7134-MJPDY,0.37866053409205297,Low
5240-CAOYT,0.4948263368219569,Moderate
4059-IIEBK,0.8143670010889521,Very High
4881-JVQOD,0.6829410515107827,High
0516-UXRMT,0.3945068710518729,Low
4851-BQDNX,0.3886785512358632,Low
5148-HKFIR,0.055322086792754376,Very Low
1009-IRMNA,0.341721257836962,Low
3003-CMDUU,0.7626509040468937,High
5016-IBERQ,0.7559292900807044,High
6797-UCJHZ,0.2920502230397474,Low
2469-DTSGX,0.23366733997968187,Low
4554-YGZIH,0.5617345828437014,Moderate
5099-BAILX,0.6628271441061041,High
9931-KGHOA,0.20765484231150233,Low
1775-KWJKQ,0.03231822704409442,Very Low
7665-VIGUD,0.16696199032357378,Very Low
9411-TPQQV,0.2509231786724522,Low
7207-RMRDB,0.5733199881891856,Moderate
7954-MLBUN,0.2203502896886328,Low
